keyword,before 2015,after 2015
Abatus cavernosus,0,0
Abra alba,1,0
Abra nitida,1,0
Abra prismatica,1,0
Abra tenuis,1,0
Abudefduf vaigiensis,0,1
Acanthaster planci,1,1
Acanthochromis polyacanthus,0,5
Acanthopagrus schlegelii,1,1
Acanthophora spicifera,1,0
Acartia bifilosa,0,0
Acartia clausi,1,1
Acartia grani,0,0
Acartia hudsonica,0,0
Acartia pacifica,0,0
Acartia sp.,0,0
Acartia tonsa,2,5
Acetabularia acetabulum,1,0
Acid-base regulation,12,18
Acinetospora crinita,0,0
Acipenser baerii,1,0
Acropora cerealis,0,1
Acropora cervicornis,1,1
Acropora cytherea,0,1
Acropora digitifera,3,0
Acropora eurystoma,0,0
Acropora formosa,1,1
Acropora horrida,1,0
Acropora humilis,0,1
Acropora hyacinthus,0,3
Acropora intermedia,1,0
Acropora millepora,1,5
Acropora muricata,1,1
Acropora palmata,0,1
Acropora pulchra,1,2
Acropora samoensis,0,1
Acropora solitaryensis,0,0
Acropora sp.,0,1
Acropora spicifera,0,0
Acropora tenuis,0,1
Acropora verweyi,0,0
Acropora yongei,0,1
Acrosorium ciliolatum,0,0
Acteon tornatilis,1,0
Adamussium colbecki,0,0
Adelosina longirostra,0,1
Affinetrina gualtieriana,0,1
Agardhiella subulata,0,1
Agaricia agaricites,0,0
Aglaothamnion byssoides,0,0
Aiptasia pulchella,1,0
Akashiwo sanguinea,0,0
Alaria esculenta,0,0
Alcyonidium hirsutum,0,0
Alcyonium coralloides,0,0
Alexandrium fundyense,0,3
Alexandrium minutum,0,1
Alexandrium ostenfeldii,0,0
Alexandrium sp.,2,0
Alexandrium tamarense,1,0
Alpheus novaezealandiae,0,1
Alteromonas sp.,0,0
Amansia rhodantha,0,0
Amblyglyphidodon curacao,0,1
Amblyraja radiata,0,0
Ammonia aomoriensis,2,0
Ammonia beccarii,0,0
Ammonia confertitesta,0,1
Ammonia sp.,2,0
Ammonia tepida,2,0
Ammotium cassis,1,0
Ampelisca brevicornis,1,0
Amphiascoides atopus,0,0
Amphibalanus amphitrite,0,0
