Category,Keywords
Geographical location,Antarctic
Geographical location,Arctic
Geographical location,Baltic Sea
Geographical location,Black Sea
Geographical location,Indian Ocean
Geographical location,Mediterranean Sea
Geographical location,North Atlantic
Geographical location,North Pacific
Geographical location,Not applicable
Geographical location,Red Sea
Geographical location,South Atlantic
Geographical location,South Pacific
Incubation type,Bottles or small containers/Aquaria (<20 L)
Incubation type,Containers and aquaria (20-1000 L or < 1 m**2)
Incubation type,Mesocosm or benthocosm
Latitudinal location,Polar
Latitudinal location,Temperate
Latitudinal location,Tropical
Living compartment,Benthos
Living compartment,Pelagos
Marine habitat,Brackish waters
Marine habitat,Coast and continental shelf
Marine habitat,Deep-sea
Marine habitat,Laboratory strains
Marine habitat,Open ocean
Multiple stressors,Inorganic toxins
Multiple stressors,Light
Multiple stressors,Macro-nutrients
Multiple stressors,Micro-nutrients
Multiple stressors,Organic toxins
Multiple stressors,Other
Multiple stressors,Oxygen
Multiple stressors,Salinity
Multiple stressors,Temperature
OA Natural analog,CO2 vent
OA Natural analog,Estuary
OA Natural analog,Upwelling
Studied parameter or process,Acid-base regulation
Studied parameter or process,Behaviour
Studied parameter or process,Biomass/Abundance/Elemental composition
Studied parameter or process,Calcification/Dissolution
Studied parameter or process,Community composition and diversity
Studied parameter or process,Development
Studied parameter or process,Gene expression (incl. proteomics)
Studied parameter or process,Growth/Morphology
Studied parameter or process,Immunology/Self-protection
Studied parameter or process,Mortality/Survival
Studied parameter or process,Other metabolic rates
Studied parameter or process,Other studied parameter or process
Studied parameter or process,Primary production/Photosynthesis
Studied parameter or process,Reproduction
Studied parameter or process,Respiration
Study focus,Entire community
Study focus,Single species
Study focus,Species interaction
Targeted group,Benthic animals
Targeted group,Heterotrophic prokaryotes
Targeted group,Macroalgae
Targeted group,Microphytobenthos
Targeted group,Nekton
Targeted group,Phytoplankton
Targeted group,Seagrass
Targeted group,Zooplankton
Targeted kingdom,Animalia
Targeted kingdom,Archaea
Targeted kingdom,Bacteria
Targeted kingdom,Chromista
Targeted kingdom,Fungi
Targeted kingdom,Plantae
Targeted kingdom,Protozoa
Targeted kingdom,Virus
Targeted phylum,Annelida
Targeted phylum,Arthropoda
Targeted phylum,Brachiopoda
Targeted phylum,Bryozoa
Targeted phylum,Charophyta
Targeted phylum,Chlorophyta
Targeted phylum,Chordata
Targeted phylum,Cnidaria
Targeted phylum,Ctenophora
Targeted phylum,Cyanobacteria
Targeted phylum,Echinodermata
Targeted phylum,Foraminifera
Targeted phylum,Haptophyta
Targeted phylum,Mollusca
Targeted phylum,Myzozoa
Targeted phylum,Nematoda
Targeted phylum,Ochrophyta
Targeted phylum,Phaeophyta
Targeted phylum,Platyhelminthes
Targeted phylum,Porifera
Targeted phylum,Proteobacteria
Targeted phylum,Rhodophyta
Targeted phylum,Tracheophyta
Targeted phylum,Xenacoelomorpha
Targeted species,Abatus cavernosus
Targeted species,Abra alba
Targeted species,Abra nitida
Targeted species,Abra prismatica
Targeted species,Abra tenuis
Targeted species,Acanthaster planci
Targeted species,Acanthochromis polyacanthus
Targeted species,Acanthopagrus schlegelii
Targeted species,Acanthophora spicifera
Targeted species,Acartia bifilosa
Targeted species,Acartia clausi
Targeted species,Acartia grani
Targeted species,Acartia hudsonica
Targeted species,Acartia sp.
Targeted species,Acartia tonsa
Targeted species,Acetabularia acetabulum
Targeted species,Acinetospora crinita
Targeted species,Acipenser baerii
Targeted species,Acropora cerealis
Targeted species,Acropora cervicornis
Targeted species,Acropora digitifera
Targeted species,Acropora eurystoma
Targeted species,Acropora formosa
Targeted species,Acropora horrida
Targeted species,Acropora hyacinthus
Targeted species,Acropora intermedia
Targeted species,Acropora millepora
Targeted species,Acropora muricata
Targeted species,Acropora palmata
Targeted species,Acropora pulchra
Targeted species,Acropora sp.
Targeted species,Acropora spicifera
Targeted species,Acropora tenuis
Targeted species,Acropora verweyi
Targeted species,Acropora yongei
Targeted species,Acrosorium ciliolatum
Targeted species,Acteon tornatilis
Targeted species,Adamussium colbecki
Targeted species,Adelosina longirostra
Targeted species,Affinetrina gualtieriana
Targeted species,Agardhiella subulata
Targeted species,Agaricia agaricites
Targeted species,Aglaothamnion byssoides
Targeted species,Aiptasia pulchella
Targeted species,Akashiwo sanguinea
Targeted species,Alaria esculenta
Targeted species,Alcyonidium hirsutum
Targeted species,Alcyonium coralloides
Targeted species,Alexandrium fundyense
Targeted species,Alexandrium ostenfeldii
Targeted species,Alexandrium sp.
Targeted species,Alexandrium tamarense
Targeted species,Alpheus novaezealandiae
Targeted species,Amansia rhodantha
Targeted species,Amblyglyphidodon curacao
Targeted species,Ammonia aomoriensis
Targeted species,Ammonia beccarii
Targeted species,Ammonia sp.
Targeted species,Ammonia tepida
Targeted species,Ammotium cassis
Targeted species,Ampelisca brevicornis
Targeted species,Amphiascoides atopus
Targeted species,Amphibalanus amphitrite
Targeted species,Amphibalanus improvisus
Targeted species,Amphidinium carterae
Targeted species,Amphiglena mediterranea
Targeted species,Amphimonhystera sp.
Targeted species,Amphipneustes lorioli
Targeted species,Amphipneustes rostratus
Targeted species,Amphipneustes similis
Targeted species,Amphiprion melanopus
Targeted species,Amphiprion percula
Targeted species,Amphiprion sebae
Targeted species,Amphiroa anceps
Targeted species,Amphiroa fragilissima
Targeted species,Amphiroa rubra
Targeted species,Amphiroa sp.
Targeted species,Amphiroa tribulus
