"Reference","DOI","DOI_PANGAEA","Included/Not included","Reason for non inclusion","Country/Region","Year"
"Adeleke, B., Robertson-Andersson, D., & Moodley, G., 2020. The effects of near-future coastal acidification on the concentrations of Cd and Pb in the crab Dotilla fenestrata. Heliyon 6:e04744","doi:10.1016/j.heliyon.2020.e04744","","Not included","< 2 carbonate chemistry parameters","South Africa","2020"
"Ahnelt, H., Schade, F. M., & Wegner, M., 2016. Ocean acidification leads to deformations of caudal vein angio-architecture in juvenile threespine stickleback, Linnaeus. Journal of Fish Diseases 39:1001-1005","doi:10.1111/jfd.12417","","Not included","< 2 carbonate chemistry parameters","EU-Austria","2016"
"Ahrendt, S., Mobberley, J., Visscher, P., Koss, L., & Foster, J., 2014. Effects of elevated carbon dioxide and salinity on the microbial diversity in lithifying microbial mats. Minerals 4:145-169","doi:10.3390/min4010145","","Not included","< 2 carbonate chemistry parameters","USA","2014"
"Aires, T., Serebryakova, A., Viard, F., Serrão, E. A., & Engelen, A. H., 2018. Acidification increases abundances of Vibrionales and Planctomycetia associated to a seaweed-grazer system: potential consequences for disease and prey digestion efficiency. PeerJ 6:e4377","doi:10.7717/peerj.4377","","Not included","< 2 carbonate chemistry parameters","EU-Portugal","2018"
"Al-Awlaqi, N. A. N., Shazili, N. A. M., & Yusoff, N. M., 2019. The combined effect of zinc and pH on growth rate and chlorophyll content of brown seaweed, Padina boryana. Malaysian Journal of Analytical Sciences 23:1018-1029","doi:10.17576/mjas-2019-2306-10","","Not included","< 2 carbonate chemistry parameters","Malaysia","2019"
"Al-Janabi, B., Kruse, I., Graiff, A., Winde, V., Lenz, M., & Wahl, M., 2016. Buffering and amplifying interactions among OAW (ocean acidification & warming) and nutrient enrichment on early life-stage Fucus vesiculosus L. (Phaeophyceae) and their carry over effects to hypoxia impact. PLoS ONE 11:e0152948","doi:10.1371/journal.pone.0152948","","Not included","< 2 carbonate chemistry parameters","EU-Germany","2016"
"Alenius, B., & Munguia, P., 2012. Effects of pH variability on the intertidal isopod, Paradella dianae. Marine and Freshwater Behaviour and Physiology 45:245-259","doi:10.1080/10236244.2012.727235","","Not included","< 2 carbonate chemistry parameters","EU-Sweden","2012"
"Allen, R., Hoffmann, L. J., Law, C. S., & Summerfield, T. C., 2020. Subtle bacterioplankton community responses to elevated CO2 and warming in the oligotrophic South Pacific gyre. Environmental Microbiology Reports 12:377-386","doi:10.1111/1758-2229.12844","","Not included","< 2 carbonate chemistry parameters","New Zealand","2020"
"Allison, N., Cole, C., Hintz, C., Hintz, K., & Finch, A. A., 2018. Influences of coral genotype and seawater pCO2 on skeletal Ba/Ca and Mg/Ca in cultured massive Porites spp. corals. Palaeogeography, Palaeoclimatology, Palaeoecology 505:351-358","doi:10.1016/j.palaeo.2018.06.015","","Not included","< 2 carbonate chemistry parameters","EU-UK","2018"
"Almén, A.-K., Vehmaa, A., Brutemark, A., Bach, L., Lischka, S., Stuhr, A. et al., 2016. Negligible effects of ocean acidification on Eurytemora affinis (Copepoda) offspring production. Biogeosciences 13:1037-1048","doi:10.5194/bg-13-1037-2016","","Not included","< 2 carbonate chemistry parameters","EU-Finland","2016"
"Almén, A.-K., Vehmaa, A., Brutemark, A., & Engström-Öst, J., 2014. Coping with climate change? Copepods experience drastic variations in their physicochemical environment on a diurnal basis. Journal of Experimental Marine Biology and Ecology 460:120-128","doi:10.1016/j.jembe.2014.07.001","","Not included","< 2 carbonate chemistry parameters","EU-Finland","2014"
"Almut, G., & Bamber, S., 2013. Behavioural responses of Crangon crangon (Crustacea, Decapoda) to reduced seawater pH following simulated leakage from sub-sea geological storage. Journal of Environmental Protection 4:61-67","doi:10.4236/jep.2013.47a008","","Not included","< 2 carbonate chemistry parameters","EU-Germany","2013"
"Alvares Leite Figueiredo, D., Branco, P. C., Amaral dos Santos, D., Krupinski Emerenciano, A., Stecca Iunes, R., Shimada Borges, J. C. et al., 2016. Ocean acidification affects parameters of immune response and extracellular pH in tropical sea urchins Lytechinus variegatus and Echinometra luccunter. Aquatic Toxicology 180:84-94","doi:10.1016/j.aquatox.2016.09.010","","Not included","< 2 carbonate chemistry parameters","Brazil","2016"
"Amado-Filho, G. M., Moura, R. L., Bastos, A. C., Salgado, L. T., Sumida, P. Y., Guth, A. Z. et al., 2012. Rhodolith beds are major CaCO3 bio-factories in the tropical South West Atlantic. PLoS ONE 7:e35171","doi:10.1371/journal.pone.0035171","","Not included","< 2 carbonate chemistry parameters","Brazil","2012"
"Amaral, V., Cabral, H. N., & Bishop, M. J., 2011. Resistance among wild invertebrate populations to recurrent estuarine acidification. Estuarine, Coastal and Shelf Science 93:460-467","doi:10.1016/j.ecss.2011.05.024","","Not included","< 2 carbonate chemistry parameters","EU-Portugal","2011"
"Amaral, V., Cabral, H. N., & Bishop, M. J., 2012. Moderate acidification affects growth but not survival of 6-month-old oysters. Aquatic Ecology 46:119-127","doi:10.1007/s10452-011-9385-5","","Not included","< 2 carbonate chemistry parameters","EU-Portugal","2012"
"Amaral, V., Cabral, H. N., & Bishop, M. J., 2014. Prior exposure influences the behavioural avoidance by an intertidal gastropod, Bembicium auratum, of acidified waters. Estuarine, Coastal and Shelf Science 136:82-90","doi:10.1016/j.ecss.2013.11.019","","Not included","< 2 carbonate chemistry parameters","Australia","2014"
"Amaro, T., Bertocci, I., Queiros, A. M., Rastelli, E., Borgersen, G., Brkljacic, M. et al., 2018. Effects of sub-seabed CO2 leakage: short- and medium-term responses of benthic macrofaunal assemblages. Marine Pollution Bulletin 128:519-526","doi:10.1016/j.marpolbul.2018.01.068","","Not included","< 2 carbonate chemistry parameters","EU-Greece","2018"
"Amergian, K. E., Beckwith, S., Gfatter, C., Selden, C., & Hallock, P., 2022. Can areas of high alkalinity freshwater discharge provide potential refugia for marine calcifying organisms? Journal of Foraminiferal Research 52:60-73","doi:10.2113/gsjfr.52.1.60","","Not included","< 2 carbonate chemistry parameters","USA","2022"
"Amjad, A., Pirzada, J. A. S., Munawwer, R., Naveed, A., Seema, S., & Farah, N. K., 2020. Status of corals along the Sindh coast of Pakistan: Prevailing environmental conditions, their impacts on community structure and conservation approaches. Regional Studies in Marine Science 39:101391","doi:10.1016/j.rsma.2020.101391","","Not included","< 2 carbonate chemistry parameters","Pakistan","2020"
"An, D., Husovic, A., Ali, L., Weddle, E., Nagle, L., & Ahearn, G. A., 2019. Ocean acidification: synergistic inhibitory effects of protons and heavy metals on ^45^Ca uptake by lobster branchiostegite membrane vesicles. Journal of Comparative Physiology B 189:513-521","doi:10.1007/s00360-019-01227-7","","Not included","< 2 carbonate chemistry parameters","USA","2019"
"Andrade Galvão de Medeiros, T., Sicolí Seoane, J. C., Macedo de Mello Baptista, G., Leal, P. R., & Dekker, A., 2022. Effect of temperature and pH on the Millepora alcicornis and Mussismilia harttii corals in light of a spectral reflectance response. International Journal of Remote Sensing 43:2475-2502","doi:10.1080/01431161.2022.2061875","","Not included","< 2 carbonate chemistry parameters","Brazil","2022"
"Aparicio, F. L., Nieto-Cid, M., Borrull, E., Calvo, E., Pelejero, C., Sala, M. M. et al., 2016. Eutrophication and acidification: do they induce changes in the dissolved organic matter dynamics in the coastal Mediterranean Sea. Science of the Total Environment 563-564:179-189","doi:10.1016/j.scitotenv.2016.04.108","","Not included","< 2 carbonate chemistry parameters","EU-Spain","2016"
"Appolloni, L., Zeppilli, D., Donnarumma, L., Baldrighi, E., Chianese, E., Russo, G. F. et al., 2020. Seawater acidification affects beta-diversity of benthic communities at a shallow hydrothermal vent in a Mediterranean marine protected area (underwater Archaeological Park of Baia, Naples, Italy). Diversity 12:464","doi:10.3390/d12120464","","Not included","< 2 carbonate chemistry parameters","EU-Italy","2020"
"Arribas, L. P., Bagur, M., Palomo, M. G., & Bigatti, G., 2017. Population biology of the sea star Anasterias minuta (Forcipulatida: Asteriidae) threatened by anthropogenic activities in rocky intertidal shores of San Matías Gulf, Patagonia, Argentina. Revista de Biologia Tropical 65:S73-S84","doi:10.15517/rbt.v65i1%20-%201.31668","","Not included","< 2 carbonate chemistry parameters","Argentina","2017"
"Asadi, M. A., & Khoiruddin, A. D., 2017. pH effects in the acute toxicity study of the crude oil-WAF (water accommodated fraction) in the whiteleg shrimp, Litopenaeus vannamei. AACL Bioflux 10:1248-1256","doi:no DOI","","Not included","< 2 carbonate chemistry parameters","Indonesia","2017"
"Bach, L. T., Lohbeck, K. T., Reusch, T. B. H., & Riebesell, U., 2018. Rapid evolution of highly variable competitive abilities in a key phytoplankton species. Nature Ecology & Evolution 2:611-613","doi:10.1038/s41559-018-0474-x","","Not included","< 2 carbonate chemistry parameters","EU-Germany","2018"
"Baltar, F., Palovaara, J., Vila-Costa, M., Salazar, G., Calvo, E., Pelejero, C. et al., 2015. Response of rare, common and abundant bacterioplankton to anthropogenic perturbations in a Mediterranean coastal site. Microbiology Ecology 91:fiv058","doi:10.1093/femsec/fiv058","","Not included","< 2 carbonate chemistry parameters","EU-Sweden","2015"
"Bamber, T. O., Jackson, A. C., & Mansfield, R. P., 2018. The effects of ocean acidification on feeding and contest behaviour by the Beadlet Anemone Actinia equina. Ocean Science Journal 53:215-224","doi:10.1007/s12601-018-0023-1","","Not included","< 2 carbonate chemistry parameters","EU-UK","2018"
"Banerjee, K., & Paul, R., 2022. Role of abiotic factors in enhancing the capacity of mangroves in reducing ocean acidification. Ecotoxicology 31:1169-1188","doi:10.1007/s10646-022-02566-y","","Not included","< 2 carbonate chemistry parameters","India","2022"
"Bao, N., & Gao, K., 2021. Interactive effects of elevated CO2 concentration and light on the picophytoplankton Synechococcus. Frontiers in Marine Science 8:634189","doi:10.3389/fmars.2021.634189","","Not included","< 2 carbonate chemistry parameters","China","2021"
"Barakat, K. M., El-Sayed, H. S., Khairy, H. M., El-Sheikh, M. A., Al-Rashed, S. A., Arif, I. A. et al., 2021. Effects of ocean acidification on the growth and biochemical composition of a green alga (Ulva fasciata) and its associated microbiota. Saudi Journal of Biological Sciences 28:5106-5114","doi:10.1016/j.sjbs.2021.05.029","","Not included","< 2 carbonate chemistry parameters","Egypt","2021"
"Barott, K. L., Huffmyer, A. S., Davidson, J. M., Lenz, E. A., Matsuda, S. B., Hancock, J. R. et al., 2021. Coral bleaching response is unaltered following acclimatization to reefs with distinct environmental conditions. Proceedings of the National Academy of Sciences USA 118:e2025435118","doi:0.1073/pnas.2025435118","","Not included","< 2 carbonate chemistry parameters","USA","2021"
"Barruffo, A., Ciaralli, L., Ardizzone, G., Gambi, M. C., & Casoli, E., 2021. Ocean acidification and mollusc settlement in Posidonia oceanica meadows: does the seagrass buffer lower pH effects at CO2 vents? Diversity 13:311","doi:10.3390/d13070311","","Not included","< 2 carbonate chemistry parameters","EU-Italy","2021"
"Barry, J. P., Buck, K. R., Lovera, C., Brewer, P. G., Seibel, B. A., Drazen, J. C. et al., 2013. The response of abyssal organisms to low pH conditions during a series of CO2-release experiments simulating deep-sea carbon sequestration. Deep Sea Research Part II: Topical Studies in Oceanography 92:249-260","doi:10.1016/j.dsr2.2013.03.037","","Not included","< 2 carbonate chemistry parameters","USA","2013"
"Barry, J. P., Lovera, C., Buck, K. R., Peltzer, E. T., Taylor, J. R., Walz, P. et al., 2014. Use of a Free Ocean CO2 Enrichment (FOCE) system to evaluate the effects of ocean acidification on the foraging behavior of a deep-sea urchin. Environmental Science & Technology 48:9890-9897","doi:10.1021/es501603r","","Not included","< 2 carbonate chemistry parameters","USA","2014"
"Barry, S. C., Frazer, T. K., & Jacoby, C. A., 2013. Production and carbonate dynamics of Halimeda incrassata (Ellis) Lamouroux altered by Thalassia testudinum Banks and Soland ex König. Journal of Experimental Marine Biology and Ecology 444:73-80","doi:10.1016/j.jembe.2013.03.012","","Not included","< 2 carbonate chemistry parameters","USA","2013"
"Basu, S., & Mackey, K. R. M., 2022. Effect of rising temperature and carbon dioxide on the growth, photophysiology, and elemental ratios of marine Synechococcus: a multistressor approach. Sustainability 14:9508","doi:10.3390/su14159508","","Not included","< 2 carbonate chemistry parameters","USA","2022"
"Bates, E. H., Alma, L., Ugrai, T., Gagnon, A., Maher, M., McElhany, P. et al., 2021. Evaluation of the effect of local water chemistry on trace metal accumulation in Puget Sound shellfish shows that concentration varies with species, size, and location. Frontiers in Marine Science 8:636170","doi:10.3389/fmars.2021.636170","","Not included","< 2 carbonate chemistry parameters","USA","2021"
"Bayraktarov, E., Price, R. E., Ferdelman, T. G., & Finster, K., 2013. The pH and pCO2 dependence of sulfate reduction in shallow-sea hydrothermal CO2 – venting sediments (Milos Island, Greece). Frontiers in Extreme Microbiology 4:111","doi:10.3389/fmicb.2013.00111","","Not included","< 2 carbonate chemistry parameters","EU-Germany","2013"
"Beare, D., McQuatters-Gollop, A., van der Hammen, T., Machiels, M., Teoh, S. J., & Hall-Spencer, J. M., 2013. Long-term trends in calcifying plankton and pH in the North Sea. PLoS ONE 8:e61175","doi:10.1371/journal.pone.0061175","","Not included","< 2 carbonate chemistry parameters","Malaysia","2013"
"Becherucci, M. E., Pereyra, P., Narvarte, M., Fanjul, E., Iribarne, O., & Martinetto, P., 2021. Tidal action and macroalgal photosynthetic activity prevent coastal acidification in an eutrophic system within a semi-desert region. Estuarine, Coastal and Shelf Science 256:107374","doi:10.1016/j.ecss.2021.107374","","Not included","< 2 carbonate chemistry parameters","Argentina","2021"
"Bell, J. J., Shaffer, M., Luter, H. M., Mana, R., & Rodolfo-Metalpa, R., 2022. Phototrophic sponge productivity may not be enhanced in a high CO2 world. Global Change Biology 28:4900-4911","doi:10.1111/gcb.16235","","Not included","< 2 carbonate chemistry parameters","New Zealand","2022"
"Bellissimo, G., Rull Lluch, J., Tomaselloa, A., & Calvo, S., 2014. The community of Cystoseira brachycarpa J. Agardh emend. Giaccone (Fucales, Phaeophyceae) in a shallow hydrothermal vent area of the Aeolian Islands (Tyrrhenian Sea, Italy). Plant Biosystems 148:21-26","doi:10.1080/11263504.2013.778350","","Not included","< 2 carbonate chemistry parameters","EU-Italy","2014"
"Bellworthy, J., Menoud, M., Krueger, T., Meibom, A., & Fine, M., 2019. Developmental carryover effects of ocean warming and acidification in corals from a potential climate refugium, the Gulf of Aqaba. The Journal of Experimental Biology 222:jeb186940","doi:10.1242/jeb.186940","","Not included","< 2 carbonate chemistry parameters","Israel","2019"
"Belzile, C., & Gosselin, M., 2015. Free-living stage of the unicellular algae Coccomyxa sp. parasite of the blue mussel (Mytilus edulis): Low-light adaptation, capacity for growth at a very wide salinity range and tolerance to low pH. Journal of Invertebrate Pathology 132:201-207","doi:10.1016/j.jip.2015.10.006","","Not included","< 2 carbonate chemistry parameters","Canada","2015"
"Benedetti, M., Lanzoni, I., Nardi, A., d’Errico, G., di Carlo, M., Fattorini, D. et al., 2016. Oxidative responsiveness to multiple stressors in the key Antarctic species, Adamussium colbecki: interactions between temperature, acidification and cadmium exposure. Marine Environmental Research 121:20-30","doi:10.1016/j.marenvres.2016.03.011","","Not included","< 2 carbonate chemistry parameters","EU-Italy","2016"
"Berlinghof, J., Peiffer, F., Marzocchi, U., Munari, M., Quero, G. M., Dennis, L. et al., 2022. The role of epiphytes in seagrass productivity under ocean acidification. Scientific Reports 12:6249","doi:10.1038/s41598-022-10154-7","","Not included","< 2 carbonate chemistry parameters","EU-Italy","2022"
"Bermejo, P., Durán-Romero, C., Villafañe, V. E., & Helbling, E. W., 2020. Influence of fluctuating irradiance on photosynthesis, growth and community structure of estuarine phytoplankton under increased nutrients and acidification. Journal of Experimental Marine Biology and Ecology 526:151348","doi:10.1016/j.jembe.2020.151348","","Not included","< 2 carbonate chemistry parameters","Argentina","2020"
"Bernhard, J. M., Mollo-Christensen, E., Eisenkolb, N., & Starczak, V. R., 2009. Tolerance of allogromiid Foraminifera to severely elevated carbon dioxide concentrations: implications to future ecosystem functioning and paleoceanographic interpretations. Global and Planetary Change 65:107-114","doi:10.1016/j.gloplacha.2008.10.013","","Not included","< 2 carbonate chemistry parameters","USA","2009"
"Betancor, S., Tuya, F., Gil-Díaz, T., Figueroa, F. L., & Haroun, R., 2014. Effects of a submarine eruption on the performance of two brown seaweeds. Journal of Sea Research 87:68-78","doi:10.1016/j.seares.2013.09.008","","Not included","< 2 carbonate chemistry parameters","EU-Spain","2014"
"Bhuvaneshwari, N., Santhanam, P., Nandakumar, R., Jayalakshmi, T., Ananth, S., Kumar, S. D. et al., 2019. Effect of pH on survival, egg production and feeding of Pseudodiaptomusannandaleia key fish food organism-a laboratory study. Biodiversity and Aquatic Research: An International Journal 1:1-4","doi:no DOI","","Not included","< 2 carbonate chemistry parameters","India","2019"
"Bielmyer-Fraser, G. K., Patel, P., Capo, T., & Grosell, M., 2018. Physiological responses of corals to ocean acidification and copper exposure. Marine Pollution Bulletin 133:781-790","doi:10.1016/j.marpolbul.2018.06.048","","Not included","< 2 carbonate chemistry parameters","USA","2018"
"Borlongan, I. A. G., Luhan, M. R. J., Padilla, P. I. P., & Hurtado, A. Q., 2016. Photosynthetic responses of ‘Neosiphonia sp. epiphyte-infected’ and healthy Kappaphycus alvarezii (Rhodophyta) to irradiance, salinity and pH variations. Journal of Applied Phycology 28:2891-2902","doi:10.1007/s10811-016-0833-4","","Not included","< 2 carbonate chemistry parameters","Philippines","2016"
"Botté, E. S., Bennett, H., Engelberts, J. P., Thomas, T., Bell, J. J., Webster, N. S. et al., 2023. Future ocean conditions induce necrosis, microbial dysbiosis and nutrient cycling imbalance in the reef sponge Stylissa flabelliformis. ISME Communications 3:53","doi:10.1038/s43705-023-00247-3","","Not included","< 2 carbonate chemistry parameters","Australia","2023"
"Botté, E. S., Luter, H. M., Marangon, E., Patel, F., Uthicke, S., & Webster, N. S., 2020. Simulated future conditions of ocean warming and acidification disrupt the microbiome of the calcifying foraminifera Marginopora vertebralis across life stages. Environmental Microbiology Reports 12:693-701","doi:10.1111/1758-2229.12900","","Not included","< 2 carbonate chemistry parameters","Australia","2020"
"Boulais, M., Suquet, M., Arsenault-Pernet, E. J., Malo, F., Queau, I., Pignet, P. et al., 2018. pH controls spermatozoa motility in the Pacific oyster (Crassostrea gigas). Biology Open 7:bio031427","doi:10.1242/bio.031427","","Not included","< 2 carbonate chemistry parameters","EU-France","2018"
"Bowen, J. L., Kearns, P. J., Holcomb, M., & Ward, B. B., 2013. Acidification alters the composition of ammonia‑oxidizing microbial assemblages in marine mesocosms. Marine Ecology Progress Series 492:1-8","doi:10.3354/meps10526","","Not included","< 2 carbonate chemistry parameters","USA","2013"
