"Pangaea_DOI","CSC flag","len"
"PANGAEA.754778","[24]","1"
"PANGAEA.891026","[8]","1"
"PANGAEA.891065","[26]","1"
"PANGAEA.771294","[8]","1"
"PANGAEA.771569","[8]","1"
"PANGAEA.763987","[8]","1"
"PANGAEA.763982","[8]","1"
"PANGAEA.763984","[8]","1"
"PANGAEA.869416","[8]","1"
"PANGAEA.869838","[29]","1"
"PANGAEA.847478","[26]","1"
"PANGAEA.833741","[8]","1"
"PANGAEA.925615","[15]","1"
"PANGAEA.908234","[26]","1"
"PANGAEA.910336","[26]","1"
"PANGAEA.875791","[8]","1"
"PANGAEA.875108","[8]","1"
"PANGAEA.867388","[15]","1"
"PANGAEA.862529","[8]","1"
"PANGAEA.860079","[8]","1"
"PANGAEA.868942","[15]","1"
"PANGAEA.859057","[26]","1"
"PANGAEA.837677","[15]","1"
"PANGAEA.918625","[24]","1"
"PANGAEA.745072","[15]","1"
"PANGAEA.949832","[25]","1"
"PANGAEA.943339","[8]","1"
"PANGAEA.924523","[24]","1"
"PANGAEA.873555","[8]","1"
"PANGAEA.778197","[29]","1"
"PANGAEA.864094","[8]","1"
"PANGAEA.763290","[26]","1"
"PANGAEA.925816","[8]","1"
"PANGAEA.877961","[26]","1"
"PANGAEA.769749","[27]","1"
"PANGAEA.922738","[26]","1"
"PANGAEA.754790","[26]","1"
"PANGAEA.946304","[15, 9]","2"
"PANGAEA.860455","[26]","1"
"PANGAEA.860802","[26]","1"
"PANGAEA.744720","[8]","1"
"PANGAEA.949078","[26]","1"
"PANGAEA.875584","[15]","1"
"PANGAEA.949506","[8]","1"
"PANGAEA.946567","[8]","1"
"PANGAEA.834082","[29, 24]","2"
"PANGAEA.849372","[15]","1"
"PANGAEA.846939","[26]","1"
"PANGAEA.770068","[26]","1"
"PANGAEA.832584","[8]","1"
"PANGAEA.908817","[15]","1"
"PANGAEA.907178","[29]","1"
"PANGAEA.917678","[15]","1"
"PANGAEA.891206","[24]","1"
"PANGAEA.892895","[26]","1"
"PANGAEA.833014","[27]","1"
"PANGAEA.847229","[15]","1"
"PANGAEA.892655","[8]","1"
"PANGAEA.951251","[26]","1"
"PANGAEA.836887","[8]","1"
"PANGAEA.832536","[15]","1"
"PANGAEA.862074","[26]","1"
"PANGAEA.892842","[26]","1"
"PANGAEA.825017","[8]","1"
"PANGAEA.861963","[8]","1"
"PANGAEA.846975","[27]","1"
"PANGAEA.892891","[29]","1"
"PANGAEA.879793","[26]","1"
"PANGAEA.770088","[26]","1"
"PANGAEA.880379","[26]","1"
"PANGAEA.922860","[26]","1"
"PANGAEA.841042","[8]","1"
"PANGAEA.875147","[15]","1"
"PANGAEA.867800","[26]","1"
"PANGAEA.836948","[26]","1"
"PANGAEA.952135","[15]","1"
"PANGAEA.837675","[24]","1"
"PANGAEA.838995","[15]","1"
"PANGAEA.945582","[8]","1"
"PANGAEA.875890","[8]","1"
"PANGAEA.951304","[26]","1"
"PANGAEA.942352","[8]","1"
"PANGAEA.922623","[8]","1"
"PANGAEA.932922","[8]","1"
"PANGAEA.865330","[8]","1"
"PANGAEA.879615","[15]","1"
"PANGAEA.911559","[8]","1"
"PANGAEA.953111","[26]","1"
"PANGAEA.918825","[15]","1"
"PANGAEA.823381","[27]","1"
"PANGAEA.948263","[8]","1"
"PANGAEA.771574","[26]","1"
"PANGAEA.770491","[26]","1"
"PANGAEA.733910","[15]","1"
"PANGAEA.945450","[26]","1"
"PANGAEA.930496","[26]","1"
"PANGAEA.861255","[8]","1"
"PANGAEA.820333","[15]","1"
"PANGAEA.875086","[21]","1"
"PANGAEA.836918","[26]","1"
"PANGAEA.834083","[15]","1"
"PANGAEA.946063","[26]","1"
"PANGAEA.887706","[8]","1"
"PANGAEA.836140","[8]","1"
"PANGAEA.823545","[15]","1"
"PANGAEA.950374","[15]","1"
"PANGAEA.946381","[26]","1"
"PANGAEA.763348","[26]","1"
"PANGAEA.839076","[8]","1"
"PANGAEA.878128","[8]","1"
"PANGAEA.892277","[8]","1"
"PANGAEA.758700","[26]","1"
"PANGAEA.925329","[8]","1"
"PANGAEA.860979","[8]","1"
"PANGAEA.892827","[26]","1"
"PANGAEA.945725","[8]","1"
"PANGAEA.840478","[26]","1"
"PANGAEA.823607","[26]","1"
"PANGAEA.924085","[8]","1"
"PANGAEA.847479","[26]","1"
"PANGAEA.908180","[15]","1"
"PANGAEA.928764","[8]","1"
"PANGAEA.948416","[8]","1"
"PANGAEA.939651","[8]","1"
"PANGAEA.862075","[8]","1"
"PANGAEA.848050","[8]","1"
"PANGAEA.838830","[8]","1"
"PANGAEA.863138","[26]","1"
"PANGAEA.910337","[26]","1"
"PANGAEA.945426","[26]","1"
"PANGAEA.754807","[8]","1"
"PANGAEA.821209","[9]","1"
"PANGAEA.763912","[26]","1"
"PANGAEA.835393","[29]","1"
"PANGAEA.942634","[8]","1"
"PANGAEA.868905","[24]","1"
"PANGAEA.873316","[29]","1"
"PANGAEA.944812","[26]","1"
"PANGAEA.836845","[8]","1"
"PANGAEA.832994","[26]","1"
"PANGAEA.946138","[15]","1"
"PANGAEA.941935","[15]","1"
"PANGAEA.763301","[26]","1"
"PANGAEA.875707","[15]","1"
"PANGAEA.839344","[26]","1"
"PANGAEA.876122","[9]","1"
"PANGAEA.869291","[8]","1"
"PANGAEA.936683","[8]","1"
"PANGAEA.925299","[15]","1"
"PANGAEA.867565","[15]","1"
"PANGAEA.846877","[8]","1"
"PANGAEA.859531","[15]","1"
"PANGAEA.835643","[26]","1"
"PANGAEA.878281","[8]","1"
"PANGAEA.868919","[26]","1"
"PANGAEA.721856","[15]","1"
"PANGAEA.835310","[8]","1"
"PANGAEA.915941","[8]","1"
"PANGAEA.823583","[8]","1"
"PANGAEA.872634","[8]","1"
"PANGAEA.862139","[8]","1"
"PANGAEA.867318","[26]","1"
"PANGAEA.727545","[15]","1"
"PANGAEA.836665","[8]","1"
"PANGAEA.952269","[15]","1"
"PANGAEA.918928","[8]","1"
"PANGAEA.887792","[9]","1"
"PANGAEA.869455","[26]","1"
"PANGAEA.935477","[15]","1"
"PANGAEA.893428","[15]","1"
"PANGAEA.869806","[15]","1"
"PANGAEA.931749","[9]","1"
"PANGAEA.754785","[26]","1"
"PANGAEA.906571","[8]","1"
"PANGAEA.840590","[8]","1"
"PANGAEA.836793","[8]","1"
"PANGAEA.837970","[26]","1"
"PANGAEA.875262","[8]","1"
"PANGAEA.840479","[26]","1"
"PANGAEA.925184","[8]","1"
"PANGAEA.848716","[8]","1"
"PANGAEA.887739","[15]","1"
"PANGAEA.869415","[15, 8, 9]","3"
"PANGAEA.770479","[27]","1"
"PANGAEA.838494","[24]","1"
"PANGAEA.771296","[26]","1"
"PANGAEA.763291","[26]","1"
"PANGAEA.932705","[24]","1"
"PANGAEA.839919","[15]","1"
"PANGAEA.834556","[26]","1"
"PANGAEA.836216","[26]","1"
"PANGAEA.831657","[15]","1"
"PANGAEA.932839","[8]","1"
"PANGAEA.728723","[15]","1"
"PANGAEA.833067","[9]","1"
"PANGAEA.945654","[26]","1"
"PANGAEA.821210","[9]","1"
"PANGAEA.836963","[8]","1"
"PANGAEA.821467","[8]","1"
"PANGAEA.834210","[26]","1"
"PANGAEA.945678","[8]","1"
"PANGAEA.907776","[8]","1"
"PANGAEA.733905","[8]","1"
"PANGAEA.879816","[8]","1"
"PANGAEA.890816","[9]","1"
"PANGAEA.875087","[26]","1"
"PANGAEA.883475","[15]","1"
"PANGAEA.948351","[8]","1"
"PANGAEA.835712","[26]","1"
"PANGAEA.910106","[8]","1"
"PANGAEA.778196","[27]","1"
"PANGAEA.945534","[26]","1"
"PANGAEA.834430","[26]","1"
"PANGAEA.877984","[8]","1"
"PANGAEA.944930","[26]","1"
"PANGAEA.933962","[8]","1"
"PANGAEA.868351","[8]","1"
"PANGAEA.864093","[8]","1"
"PANGAEA.848420","[27]","1"
"PANGAEA.869633","[15]","1"
"PANGAEA.860712","[8]","1"
"PANGAEA.775819","[26]","1"
"PANGAEA.825108","[24]","1"
"PANGAEA.909061","[8]","1"
"PANGAEA.880536","[8]","1"
"PANGAEA.945790","[8, 15]","2"
"PANGAEA.874858","[26]","1"
"PANGAEA.769727","[8]","1"
"PANGAEA.865341","[15]","1"
"PANGAEA.772703","[26]","1"
"PANGAEA.878078","[8]","1"
"PANGAEA.946236","[15]","1"
"PANGAEA.863975","[9]","1"
"PANGAEA.771909","[26]","1"
"PANGAEA.877953","[27]","1"
"PANGAEA.777447","[26]","1"
"PANGAEA.860529","[27]","1"
"PANGAEA.728727","[15]","1"
"PANGAEA.771572","[8]","1"
"PANGAEA.953058","[8]","1"
"PANGAEA.941907","[9]","1"
"PANGAEA.884671","[27]","1"
"PANGAEA.884673","[27]","1"
"PANGAEA.884670","[27]","1"
"PANGAEA.846486","[27]","1"
"PANGAEA.761769","[29]","1"
"PANGAEA.885869","[8]","1"
"PANGAEA.885868","[8]","1"
"PANGAEA.885871","[8]","1"
"PANGAEA.885872","[8]","1"
"PANGAEA.885807","[8]","1"
"PANGAEA.885870","[8]","1"
"PANGAEA.885873","[8]","1"
"PANGAEA.839886","[26]","1"
"PANGAEA.836006","[26]","1"
"PANGAEA.945734","[26]","1"
"PANGAEA.944344","[26]","1"
"PANGAEA.846883","[27]","1"
"PANGAEA.889437","[26]","1"
"PANGAEA.929195","[26]","1"
"PANGAEA.861971","[26]","1"
"PANGAEA.874959","[26]","1"
"PANGAEA.833187","[8]","1"
"PANGAEA.833768","[8]","1"
"PANGAEA.837249","[8]","1"
"PANGAEA.833713","[26]","1"
"PANGAEA.824406","[26]","1"
"PANGAEA.770089","[15]","1"
"PANGAEA.875114","[15]","1"
"PANGAEA.848035","[15]","1"
"PANGAEA.926944","[26]","1"
"PANGAEA.957375","[8]","1"
"PANGAEA.932784","[8]","1"
"PANGAEA.947936","[8]","1"
"PANGAEA.952310","[8]","1"
"PANGAEA.956864","[8]","1"
"PANGAEA.924054","[21]","1"
"PANGAEA.951473","[15]","1"
"PANGAEA.876211","[9]","1"
"PANGAEA.947963","[8]","1"
"PANGAEA.848718","[26]","1"
"PANGAEA.846484","[8]","1"
"PANGAEA.950161","[8]","1"
"PANGAEA.949976","[8]","1"
"PANGAEA.868738","[24]","1"
"PANGAEA.956816","[8]","1"
"PANGAEA.836728","[26]","1"
"PANGAEA.930632","[15]","1"
"PANGAEA.933100","[15]","1"
"PANGAEA.957364","[26]","1"
"PANGAEA.820432","[9]","1"
"PANGAEA.945323","[8]","1"
"PANGAEA.957625","[27]","1"
"PANGAEA.944715","[8]","1"
"PANGAEA.957780","[9]","1"
"PANGAEA.957419","[8]","1"
"PANGAEA.951362","[8]","1"
"PANGAEA.939814","[8]","1"
"PANGAEA.958552","[26]","1"
"PANGAEA.840648","[15]","1"
"PANGAEA.835430","[24]","1"
"PANGAEA.958748","[24, 26]","2"
"PANGAEA.958012","[9]","1"
"PANGAEA.744887","[26]","1"
"PANGAEA.938760","[15]","1"
"PANGAEA.835334","[26, 8]","2"
"PANGAEA.958996","[26]","1"
"PANGAEA.958964","[15]","1"
"PANGAEA.958998","[8]","1"
"PANGAEA.959013","[15]","1"
"PANGAEA.959214","[15]","1"
"PANGAEA.959452","[8]","1"
"PANGAEA.959026","[8]","1"
"PANGAEA.833949","[15]","1"
"PANGAEA.849257","[27]","1"
"PANGAEA.846058","[15]","1"
"PANGAEA.868779","[26]","1"
"PANGAEA.858970","[26]","1"
"PANGAEA.922459","[21]","1"
"PANGAEA.892370","[8]","1"
"PANGAEA.847792","[27]","1"
"PANGAEA.835715","[26]","1"
"PANGAEA.917477","[15]","1"
"PANGAEA.771293","[9]","1"
"PANGAEA.851339","[27]","1"
"PANGAEA.906572","[29]","1"
"PANGAEA.888942","[29]","1"
"PANGAEA.939041","[29]","1"
"PANGAEA.851340","[27]","1"
"PANGAEA.957190","[8]","1"
"PANGAEA.959017","[8]","1"
"PANGAEA.849339","[15]","1"
"PANGAEA.949280","[8]","1"
"PANGAEA.778475","[26]","1"
"PANGAEA.932293","[8]","1"
"PANGAEA.959516","[8]","1"
"PANGAEA.733912","[15]","1"
"PANGAEA.860281","[27]","1"
"PANGAEA.936541","[26]","1"
"PANGAEA.953109","[8]","1"
"PANGAEA.952909","[15]","1"
"PANGAEA.834251","[15]","1"
"PANGAEA.861820","[26]","1"
"PANGAEA.937532","[27]","1"
"PANGAEA.875066","[15]","1"
"PANGAEA.834555","[27]","1"
"PANGAEA.885410","[9]","1"
"PANGAEA.777432","[26]","1"
"PANGAEA.945242","[29]","1"
"PANGAEA.880318","[26]","1"
"PANGAEA.957342","[9]","1"
"PANGAEA.755151","[26]","1"
"PANGAEA.836367","[8]","1"
"PANGAEA.836733","[26]","1"
"PANGAEA.835214","[15]","1"
"PANGAEA.763286","[8]","1"
"PANGAEA.763842","[15]","1"
"PANGAEA.843600","[26]","1"
"PANGAEA.840328","[27]","1"
"PANGAEA.874781","[26]","1"
"PANGAEA.959519","[9]","1"
"PANGAEA.823746","[8]","1"
"PANGAEA.867506","[15]","1"
"PANGAEA.835576","[8]","1"
"PANGAEA.868352","[26]","1"
"PANGAEA.771295","[15]","1"
"PANGAEA.945523","[15]","1"
"PANGAEA.912222","[8]","1"
"PANGAEA.833881","[26]","1"
"PANGAEA.848714","[26]","1"
"PANGAEA.849254","[26]","1"
"PANGAEA.929951","[9]","1"
"PANGAEA.925187","[8]","1"
"PANGAEA.841041","[26]","1"
"PANGAEA.931962","[8]","1"
"PANGAEA.833621","[15, 26]","2"
"PANGAEA.941570","[26]","1"
"PANGAEA.834243","[8]","1"
"PANGAEA.926042","[8]","1"
"PANGAEA.861987","[8]","1"
"PANGAEA.859435","[26]","1"
"PANGAEA.824407","[26]","1"
"PANGAEA.925914","[26]","1"
"PANGAEA.945448","[25]","1"
"PANGAEA.846949","[29]","1"
"PANGAEA.861737","[27]","1"
"PANGAEA.926048","[26]","1"
"PANGAEA.908459","[26]","1"
"PANGAEA.873540","[26]","1"
"PANGAEA.849392","[24]","1"
"PANGAEA.914045","[8]","1"
"PANGAEA.914371","[26]","1"
"PANGAEA.909706","[8]","1"
"PANGAEA.918545","[8]","1"
"PANGAEA.952426","[8]","1"
"PANGAEA.875001","[26]","1"
"PANGAEA.867479","[26]","1"
"PANGAEA.925990","[8]","1"
"PANGAEA.771908","[15]","1"
"PANGAEA.877951","[27]","1"
"PANGAEA.887768","[26]","1"
"PANGAEA.770071","[26]","1"
"PANGAEA.849402","[9]","1"
"PANGAEA.867130","[29]","1"
"PANGAEA.838493","[15]","1"
"PANGAEA.892594","[8]","1"
"PANGAEA.925337","[26]","1"
"PANGAEA.861875","[8]","1"
"PANGAEA.836007","[8]","1"
"PANGAEA.835109","[15]","1"
"PANGAEA.931777","[9]","1"
"PANGAEA.920033","[27]","1"
"PANGAEA.834266","[15]","1"
"PANGAEA.848419","[27]","1"
"PANGAEA.934128","[26]","1"
"PANGAEA.919252","[15]","1"
"PANGAEA.918128","[24]","1"
"PANGAEA.915978","[8]","1"
"PANGAEA.874743","[15]","1"
