DOI,title,keywords,abstract,authors,dataLink,year,Id,dataDirectory
https://doi.pangaea.de/10.1594/PANGAEA.835969,"Acid-base physiology response to ocean acidification of two ecologically and economically important holothuroids from contrasting habitats, Holothuria scabra and Holothuria parva","['Acid-base regulation', 'Animalia', 'Benthic animals', 'Benthos', 'Coast and continental shelf', 'Containers and aquaria (20-1000 L or < 1 m**2)', 'Echinodermata', 'Holothuria parva', 'Holothuria scabra', 'Indian Ocean', 'Laboratory experiment', 'Other metabolic rates', 'Respiration', 'Single species', 'Tropical']","Sea cucumbers are dominant invertebrates in several ecosystems such as coral reefs, seagrass meadows and mangroves. As bioturbators, they have an important ecological role in making available calcium carbonate and nutrients to the rest of the community. However, due to their commercial value, they face overexploitation in the natural environment. On top of that, occurring ocean acidification could impact these organisms, considered sensitive as echinoderms are osmoconformers, high-magnesium calcite producers and have a low metabolism. As a first investigation of the impact of ocean acidification on sea cucumbers, we tested the impact of short-term (6 to 12 days) exposure to ocean acidification (seawater pH 7.7 and 7.4) on two sea cucumbers collected in SW Madagascar, Holothuria scabra, a high commercial value species living in the seagrass meadows, and H. parva, inhabiting the mangroves. The former lives in a habitat with moderate fluctuations of seawater chemistry (driven by day-night differences) while the second lives in a highly variable intertidal environment. In both species, pH of the coelomic fluid was significantly negatively affected by reduced seawater pH, with a pronounced extracellular acidosis in individuals maintained at pH 7.7 and 7.4. This acidosis was due to an increased dissolved inorganic carbon content and pCO2 of the coelomic fluid, indicating a limited diffusion of the CO2 towards the external medium. However, respiration and ammonium excretion rates were not affected. No evidence of accumulation of bicarbonate was observed to buffer the coelomic fluid pH. If this acidosis stays uncompensated for when facing long-term exposure, other processes could be affected in both species, eventually leading to impacts on their ecological role.","['Collard, Marie', 'Eeckhaut, Igor', 'Dehairs, Frank', 'Dubois, Philippe']",https://doi.pangaea.de/10.1594/PANGAEA.835969?format=textfile,2014,PANGAEA.835969,Collard_2014_835969
https://doi.pangaea.de/10.1594/PANGAEA.778475,"Seawater carbonate chemistry, nutrients, and Calcidiscus leptoporus (strain RCC1135) growth rate and calcification rate during experiments, 2012","['Biomass/Abundance/Elemental composition', 'Bottles or small containers/Aquaria (<20 L)', 'Calcidiscus leptoporus', 'Calcification/Dissolution', 'Chromista', 'Growth/Morphology', 'Haptophyta', 'Laboratory experiment', 'Laboratory strains', 'Macro-nutrients', 'Pelagos', 'Phytoplankton', 'Primary production/Photosynthesis', 'Single species', 'South Atlantic']","The coccolithophore Calcidiscus leptoporus was grown in batch culture under nitrogen (N) as well as phosphorus (P) limitation. Growth rate, particulate inorganic carbon (PIC), particulate organic carbon (POC), particulate organic nitrogen (PON), and particulate organic phosphorus (POP) production were determined and coccolith morphology was analysed. While PON production decreased by 70% under N-limitation and POP production decreased by 65% under P-limitation, growth rate decreased by 33% under N- as well as P-limitation. POC as well as PIC production (calcification rate) increased by 27% relative to the control under P-limitation, and did not change under N-limitation. Coccolith morphology did not change in response to either P or N limitation. While these findings, supported by a literature survey, suggest that coccolith morphogenesis is not hampered by either P or N limitation, calcification rate might be. The latter conclusion is in apparent contradiction to our data. We discuss the reasons for this inference.","['Langer, Gerald', 'Oetjen, Kerstin', 'Brenneis, Tina']",https://doi.pangaea.de/10.1594/PANGAEA.778475?format=textfile,2012,PANGAEA.778475,Langer_2012_778475
https://doi.pangaea.de/10.1594/PANGAEA.861380,Control of ambient pH on growth and stable isotopes in phytoplanktonic calcifying algae,"['Biomass/Abundance/Elemental composition', 'Bottles or small containers/Aquaria (<20 L)', 'Chromista', 'Coccolithus pelagicus', 'Gephyrocapsa oceanica', 'Growth/Morphology', 'Haptophyta', 'Laboratory experiment', 'Laboratory strains', 'Not applicable', 'Pelagos', 'Phytoplankton', 'Single species']","The present work examines the relationship between pH-induced changes in growth and stable isotopic composition of coccolith calcite in two coccolithophore species with a geological perspective. These cells (Gephyrocapsa oceanica and Coccolithus pelagicus) with differing physiologies and vital effects possess a growth optimum corresponding to average pH of surface seawater in the geological period during their first known occurrence. Diminished growth rates outside of their optimum pH range are explained by the challenge of proton translocation into the extracellular environment at low pH, and enhanced aqueous CO2 limitation at high pH. These diminished growth rates correspond to a lower degree of oxygen isotopic disequilibrium in G. oceanica. In contrast, the slower growing and ancient species C. pelagicus, which typically precipitates near-equilibrium calcite, does not show any modulation of oxygen isotope signals with changing pH. In CO2-utilizing unicellular algae, carbon and oxygen isotope compositions are best explained by the degree of utilization of the internal dissolved inorganic carbon (DIC) pool and the dynamics of isotopic re-equilibration inside the cell. Thus, the ""carbonate ion effect"" may not apply to coccolithophores. This difference with foraminifera can be traced to different modes of DIC incorporation into these two distinct biomineralizing organisms. From a geological perspective, these findings have implications for refining the use of oxygen isotopes to infer more reliable sea surface temperatures (SSTs) from fossil carbonates, and contribute to a better understanding of how climate-relevant parameters are recorded in the sedimentary archive.","['Hermoso, Michael']",https://doi.pangaea.de/10.1594/PANGAEA.861380?format=textfile,2015,PANGAEA.861380,Hermoso_2015_861380
https://doi.pangaea.de/10.1594/PANGAEA.824406,"Seawater carbonate chemistry and growth, carbon acquisition, and species interaction of Antarctic phytoplankton species in a laboratory experiment","['Antarctic', 'Bottles or small containers/Aquaria (<20 L)', 'Chaetoceros debilis', 'Chromista', 'Fragilariopsis kerguelensis', 'Growth/Morphology', 'Laboratory experiment', 'Laboratory strains', 'Ochrophyta', 'Pelagos', 'Phaeocystis antarctica', 'Phytoplankton', 'Primary production/Photosynthesis', 'Pseudo-nitzschia subcurvata', 'Single species', 'Species interaction']","Despite the fact that ocean acidification is considered to be especially pronounced in the Southern Ocean, little is known about CO2-dependent physiological processes and the interactions of Antarctic phytoplankton key species. We therefore studied the effects of CO2 partial pressure (PCO2) (16.2, 39.5, and 101.3 Pa) on growth and photosynthetic carbon acquisition in the bloom-forming species Chaetoceros debilis, Pseudo-nitzschia subcurvata, Fragilariopsis kerguelensis, and Phaeocystis antarctica. Using membrane-inlet mass spectrometry, photosynthetic O2 evolution and inorganic carbon (Ci) fluxes were determined as a function of CO2 concentration. Only the growth of C. debilis was enhanced under high PCO2. Analysis of the carbon concentrating mechanism (CCM) revealed the operation of very efficient CCMs (i.e., high Ci affinities) in all species, but there were species-specific differences in CO2-dependent regulation of individual CCM components (i.e., CO2 and uptake kinetics, carbonic anhydrase activities). Gross CO2 uptake rates appear to increase with the cell surface area to volume ratios. Species competition experiments with C. debilis and P. subcurvata under different PCO2 levels confirmed the CO2-stimulated growth of C. debilis observed in monospecific incubations, also in the presence of P. subcurvata. Independent of PCO2, high initial cell abundances of P. subcurvata led to reduced growth rates of C. debilis. For a better understanding of future changes in phytoplankton communities, CO2-sensitive physiological processes need to be identified, but also species interactions must be taken into account because their interplay determines the success of a species.","['Trimborn, Scarlett', 'Brenneis, Tina', 'Sweet, Elizabeth', 'Rost, Björn']",https://doi.pangaea.de/10.1594/PANGAEA.824406?format=textfile,2013,PANGAEA.824406,Trimborn_2013_824406
https://doi.pangaea.de/10.1594/PANGAEA.836912,Strong shift from HCO3- to CO2 uptake in Emiliania huxleyi with acidification: new approach unravels acclimation versus short-term pH effects,"['Biomass/Abundance/Elemental composition', 'Bottles or small containers/Aquaria (<20 L)', 'Chromista', 'Emiliania huxleyi', 'Growth/Morphology', 'Haptophyta', 'Laboratory experiment', 'Laboratory strains', 'North Atlantic', 'Other metabolic rates', 'Pelagos', 'Phytoplankton', 'Single species']","Effects of ocean acidification on Emiliania huxleyi strain RCC 1216 (calcifying, diploid life-cycle stage) and RCC 1217 (non-calcifying, haploid life-cycle stage) were investigated by measuring growth, elemental composition, and production rates under different pCO2 levels (380 and 950 µatm). In these differently acclimated cells, the photosynthetic carbon source was assessed by a (14)C disequilibrium assay, conducted over a range of ecologically relevant pH values (7.9-8.7). In agreement with previous studies, we observed decreased calcification and stimulated biomass production in diploid cells under high pCO2, but no CO2-dependent changes in biomass production for haploid cells. In both life-cycle stages, the relative contributions of CO2 and HCO3 (-) uptake depended strongly on the assay pH. At pH values =< 8.1, cells preferentially used CO2 (>= 90 % CO2), whereas at pH values >= 8.3, cells progressively increased the fraction of HCO3 (-) uptake (~45 % CO2 at pH 8.7 in diploid cells; ~55 % CO2 at pH 8.5 in haploid cells). In contrast to the short-term effect of the assay pH, the pCO2 acclimation history had no significant effect on the carbon uptake behavior. A numerical sensitivity study confirmed that the pH-modification in the (14)C disequilibrium method yields reliable results, provided that model parameters (e.g., pH, temperature) are kept within typical measurement uncertainties. Our results demonstrate a high plasticity of E. huxleyi to rapidly adjust carbon acquisition to the external carbon supply and/or pH, and provide an explanation for the paradoxical observation of high CO2 sensitivity despite the apparently high HCO3 (-) usage seen in previous studies.","['Kottmeier, Dorothee', 'Rokitta, Sebastian D', 'Tortell, Philippe Daniel', 'Rost, Björn']",https://doi.pangaea.de/10.1594/PANGAEA.836912?format=textfile,2014,PANGAEA.836912,Kottmeier_2014_836912
https://doi.pangaea.de/10.1594/PANGAEA.923836,Seawater carbonate chemistry and growth performance and survival of larval Atlantic herring,"['Animalia', 'Behaviour', 'Chordata', 'Clupea harengus', 'Coast and continental shelf', 'Containers and aquaria (20-1000 L or < 1 m**2)', 'Development', 'Growth/Morphology', 'Laboratory experiment', 'Mortality/Survival', 'Nekton', 'North Atlantic', 'Pelagos', 'Single species', 'Temperate']","In the coming decades, environmental change like warming and acidification will affect life in the ocean. While data on single stressor effects on fish are accumulating rapidly, we still know relatively little about interactive effects of multiple drivers. Of particular concern in this context are the early life stages of fish, for which direct effects of increased CO2 on growth and development have been observed. Whether these effects are further modified by elevated temperature was investigated here for the larvae of Atlantic herring (Clupea harengus), a commercially important fish species. Over a period of 32 days, larval survival, growth in size and weight, and instantaneous growth rate were assessed in a crossed experimental design of two temperatures (10°C and 12°C) with two CO2 levels (400 μatm and 900 μatm CO2) at food levels mimicking natural levels using natural prey. Elevated temperature alone led to increased swimming activity, as well as decreased survival and instantaneous growth rate (Gi). The comparatively high sensitivity to elevated temperature in this study may have been influenced by low food levels offered to the larvae. Larval size, Gi and swimming activity were not affected by CO2, indicating tolerance of this species to projected “end of the century” CO2 levels. A synergistic effect of elevated temperature and CO2 was found for larval weight, where no effect of elevated CO2 concentrations was detected in the 12°C treatment, but a negative CO2 effect was found in the 10°C treatment. Contrasting CO2 effects were found for survival between the two temperatures. Under ambient CO2 conditions survival was increased at 12°C compared to 10°C. In general, CO2 effects were minor and considered negligible compared to the effect of temperature under these mimicked natural food conditions. These findings emphasize the need to include biotic factors such as energy supply via prey availability in future studies on interactive effects of multiple stressors.","['Sswat, Michael', 'Stiasny, Martina H', 'Jutfelt, Fredrik', 'Riebesell, Ulf', 'Clemmesen, Catriona']",https://doi.pangaea.de/10.1594/PANGAEA.923836?format=textfile,2018,PANGAEA.923836,Sswat_2018_923836
https://doi.pangaea.de/10.1594/PANGAEA.773860,"Seawater carbonate chemistry, nutrients, particulate carbon and growth rate of Emiliania huxleyi (AC472), Calcidiscus leptoporus (AC370) and Syracosphaera pulchra (AC418) during experiments, 2011","['Biomass/Abundance/Elemental composition', 'Bottles or small containers/Aquaria (<20 L)', 'Calcidiscus leptoporus', 'Calcification/Dissolution', 'Chromista', 'Emiliania huxleyi', 'Growth/Morphology', 'Haptophyta', 'Laboratory experiment', 'Laboratory strains', 'Pelagos', 'Phytoplankton', 'Primary production/Photosynthesis', 'Single species', 'South Pacific', 'Syracosphaera pulchra']","The response of Emiliania huxleyi (Lohmann) W. W. Hay et H. Mohler, Calcidiscus leptoporus (G. Murray et V. H. Blackman) J. Schiller, andSyracosphaera pulchra Lohmann to elevated partial pressure of carbon dioxide (pCO2) was investigated in batch cultures. We reported on the response of both haploid and diploid life stages of these three species. Growth rate, cell size, particulate inorganic carbon (PIC), and particulate organic carbon (POC) of both life stages were measured at two different pCO2 (400 and 760 parts per million [ppm]), and their organic and inorganic carbon production were calculated. The two life stages within the same species generally exhibited a similar response to elevated pCO2, the response of the haploid stage being often more pronounced than that of the diploid stage. The growth rate was consistently higher at elevated pCO2, but the response of other processes varied among species. Calcification rate of C. leptoporusand of S. pulchra did not change at elevated pCO2, whereas it increased in E. huxleyi. POC production and cell size of both life stages of S. pulchra and of the haploid stage of E. huxleyi markedly decreased at elevated pCO2. It remained unaltered in the diploid stage of E. huxleyi and C. leptoporus and increased in the haploid stage of the latter. The PIC:POC ratio increased in E. huxleyi and was constant in C. leptoporus and S. pulchra. Elevated pCO2 has a significant effect on these three coccolithophore species, the haploid stage being more sensitive. This effect must be taken into account when predicting the fate of coccolithophores in the future ocean.","['Fiorini, Sarah', 'Middelburg, Jack J', 'Gattuso, Jean-Pierre']",https://doi.pangaea.de/10.1594/PANGAEA.773860?format=textfile,2011,PANGAEA.773860,Fiorini_2011_773860
https://doi.pangaea.de/10.1594/PANGAEA.899865,"Seawater carbonate chemistry and oxygen consumption, metabolite concentration","['Animalia', 'Benthic animals', 'Benthos', 'Bottles or small containers/Aquaria (<20 L)', 'Coast and continental shelf', 'Haliotis fulgens', 'Laboratory experiment', 'Mollusca', 'North Pacific', 'Other metabolic rates', 'Oxygen', 'Respiration', 'Single species', 'Temperate', 'Temperature']",,"['Tripp-Valdez, Miguel Angel', 'Lucassen, Magnus', 'Lluch-Cota, Salvador E', 'Sicard, M Teresa', 'Lannig, Gisela', 'Pörtner, Hans-Otto']",https://doi.pangaea.de/10.1594/PANGAEA.899865?format=textfile,2017,PANGAEA.899865,Tripp-Valdez_2017_899865
https://doi.pangaea.de/10.1594/PANGAEA.778456,"Egg and early larval stages of Baltic cod, Gadus morhua duirng ocean acidification experiments, 2012","['Animalia', 'Baltic Sea', 'Biomass/Abundance/Elemental composition', 'Bottles or small containers/Aquaria (<20 L)', 'Chordata', 'Coast and continental shelf', 'Gadus morhua', 'Growth/Morphology', 'Laboratory experiment', 'Mortality/Survival', 'Nekton', 'Pelagos', 'Reproduction', 'Single species', 'Temperate', 'Temperature']","The accumulation of carbon dioxide in the atmosphere will lower the pH in ocean waters, a process termed ocean acidification (OA). Despite its potentially detrimental effects on calcifying organisms, experimental studies on the possible impacts on fish remain scarce. While adults will most likely remain relatively unaffected by changes in seawater pH, early life-history stages are potentially more sensitive, due to the lack of gills with specialized ion-regulatory mechanisms. We tested the effects of OA on growth and development of embryos and larvae of eastern Baltic cod, the commercially most important fish stock in the Baltic Sea. Cod were reared from newly fertilized eggs to early non-feeding larvae in 5 different experiments looking at a range of response variables to OA, as well as the combined effect of CO2 and temperature. No effect on hatching, survival, development, and otolith size was found at any stage in the development of Baltic cod. Field data show that in the Bornholm Basin, the main spawning site of eastern Baltic cod, in situ levels of pCO2are already at levels of 1,100 µatm with a pH of 7.2, mainly due to high eutrophication supporting microbial activity and permanent stratification with little water exchange. Our data show that the eggs and early larval stages of Baltic cod seem to be robust to even high levels of OA (3,200 µatm), indicating an adaptational response to CO2.","['Frommel, Andrea Y', 'Schubert, Alexander', 'Piatkowski, Uwe', 'Clemmesen, Catriona']",https://doi.pangaea.de/10.1594/PANGAEA.778456?format=zip,2013,PANGAEA.778456,Frommel_2013_778456
https://doi.pangaea.de/10.1594/PANGAEA.771909,"Seawater carbonate chemistry and shell length of northern abalone (Haliotis kamtschatkana) during experiments, 2011","['Animalia', 'Bottles or small containers/Aquaria (<20 L)', 'Coast and continental shelf', 'Development', 'Growth/Morphology', 'Haliotis kamtschatkana', 'Laboratory experiment', 'Mollusca', 'Mortality/Survival', 'North Pacific', 'Pelagos', 'Single species', 'Temperate', 'Zooplankton']","Increasing levels of anthropogenic carbon dioxide in the world's oceans are resulting in a decrease in the availability of carbonate ions and a drop in seawater pH. This process, known as ocean acidification, is a potential threat to marine populations via alterations in survival and development. To date, however, little research has examined the effects of ocean acidification on rare or endangered species. To begin to assess the impacts of acidification on endangered northern abalone (Haliotis kamtschatkana) populations, we exposed H. kamtschatkana larvae to various levels of CO2 [400 ppm (ambient), 800 ppm, and 1800 ppm CO2] and measured survival, settlement, shell size, and shell development. Larval survival decreased by ca. 40% in elevated CO2 treatments relative to the 400 ppm control. However, CO2 had no effect on the proportion of surviving larvae that metamorphosed at the end of the experiment. Larval shell abnormalities became apparent in approximately 40% of larvae reared at 800 ppm CO2, and almost all larvae reared at 1800 ppm CO2 either developed an abnormal shell or lacked a shell completely. Of the larvae that did not show shell abnormalities, shell size was reduced by 5% at 800 ppm compared to the control. Overall, larval development of H. kamtschatkana was found to be sensitive to ocean acidification. Near future levels of CO2 will likely pose a significant additional threat to this species, which is already endangered with extinction due in part to limited reproductive output and larval recruitment.","['Crim, Ryan N', 'Sunday, Jennifer M', 'Harley, Christopher D G']",https://doi.pangaea.de/10.1594/PANGAEA.771909?format=textfile,2011,PANGAEA.771909,Crim_2011_771909
